procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 JST
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 JST
 2  0      0  75316   4312 243228    0    0  3459    10  752 1161  1  1 96  0  1 2025-04-19 09:58:24
 0  0      0  71032   4328 247300    0    0   817    10  508  758  1  1 98  0  1 2025-04-19 09:58:29
 0  0      0 109840   3340 213380    0    0  1627    10  685 1079  1  1 97  0  1 2025-04-19 09:58:34
 0  0      0 101776   3372 221496    0    0  1626     5  421  646  0  1 98  0  1 2025-04-19 09:58:39
 0  0      0  84412   3508 218168    0    0    59    10  681 1090  1  1 98  0  0 2025-04-19 09:58:44
 0  0      0  84108   3516 218284    0    0    11    14  434  657  0  0 99  0  0 2025-04-19 09:58:49
 0  0      0  91424   3520 218028    0    0     0    10  629 1031  1  1 98  0  0 2025-04-19 09:58:54
 0  0      0  90920   3528 218176    0    0    30     5  422  668  0  0 99  0  0 2025-04-19 09:58:59
 0  0      0 122736    360 182248    0    0    31    17  650 1057  1  1 97  0  1 2025-04-19 09:59:04
 0  0      0 122736    400 182260    0    0     7    10  434  654  0  1 99  0  0 2025-04-19 09:59:09
 0  0      0  85736   2852 209272    0    0  5889    13  867 1235  1  1 97  0  0 2025-04-19 09:59:14
 0  0      0  85232   3004 209300    0    0    30    26  463  663  0  1 99  0  0 2025-04-19 09:59:19
 0  0      0  83768   3016 210960    0    0   333    24  661 1030  1  1 98  0  1 2025-04-19 09:59:24
 0  0      0  83768   3024 210968    0    0     0     5  468  711  0  1 99  0  0 2025-04-19 09:59:29
 0  0      0 109904   3932 186508    0    0  5258    11  983 1258  2  2 94  0  1 2025-04-19 09:59:34
 0  0      0 107160   3940 189064    0    0   498     5  444  658  0  1 98  0  1 2025-04-19 09:59:39
 0  0      0  83124   4104 189496    0    0   117    13  722 1098  1  1 97  0  1 2025-04-19 09:59:44
 0  0      0  83124   4112 189488    0    0     0    10  441  654  0  1 98  0  1 2025-04-19 09:59:49
 0  0      0  82884   4120 189496    0    0     0    10  628 1032  1  1 97  0  1 2025-04-19 09:59:54
 0  0      0  82884   4128 189488    0    0     0    19  464  681  0  1 99  0  0 2025-04-19 09:59:59
 0  0      0  86900   4136 192108    0    0   522    10  616  981  1  1 95  0  3 2025-04-19 10:00:04
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 JST
 2  0      0  87276   4144 192100    0    0     6     6  432  644  0  1 98  0  1 2025-04-19 10:00:09
 0  0      0  84508   4152 200404    0    0  1654    12  664 1039  1  1 97  0  1 2025-04-19 10:00:14
 0  0      0  76316   4164 200692    0    0    58    18  488  709  0  1 98  0  1 2025-04-19 10:00:19
 0  0      0  95076   3892 172748    0    0  2851    10  815 1150  2  1 96  0  1 2025-04-19 10:00:24
 0  0      0  81024   4252 181424    0    0  1806     6  513  713  1  1 97  0  1 2025-04-19 10:00:29
 1  0      0  70864   4564 183352    0    0   445    26  702 1090  1  1 97  0  1 2025-04-19 10:00:34
 0  0      0  86020   2528 186492    0    0  6342    54  731 1159  2  1 95  0  2 2025-04-19 10:00:39
 0  0      0  69084   2876 199896    0    0  2749    26  779 1130  1  1 97  0  1 2025-04-19 10:00:44
 0  0      0  77136   4176 207000    0    0  1732    10  615  852  1  1 96  0  2 2025-04-19 10:00:49
 0  0      0  86604   3136 188324    0    0   839    45  934 1375  3  1 93  0  3 2025-04-19 10:00:54
 1  0      0 102688   3152 188324    0    0     2    24  445  676  0  1 98  0  1 2025-04-19 10:00:59
 0  0      0  90264   3568 188848    0    0   189     5  587  984  1  1 98  0  0 2025-04-19 10:01:04
 0  0      0  76292   3708 193360    0    0   927    11  510  743  1  1 97  0  1 2025-04-19 10:01:09
 0  0      0  75960   3704 192904    0    0     0    12  670 1067  1  1 97  0  1 2025-04-19 10:01:14
 1  0      0  71196   3844 192912    0    0    27    13  584  791  1  1 97  0  1 2025-04-19 10:01:19
 0  0      0  75000   4600 191724    0    0  3393    13  909 1217  1  1 96  0  1 2025-04-19 10:01:24
 1  0      0  98956   3892 163804    0    0   604    24  621  825  1  1 97  0  1 2025-04-19 10:01:29
 0  0      0  89948   4268 174508    0    0  2211    33  850 1213  1  2 96  0  1 2025-04-19 10:01:34
 0  0      0  87684   4280 174524    0    0     1    24  493  739  1  1 97  0  1 2025-04-19 10:01:39
 0  0      0  98808   4288 177780    0    0   655    10  617  987  1  1 97  0  1 2025-04-19 10:01:44
 0  0      0  88856   4296 177804    0    0     0    23  504  744  0  1 98  0  0 2025-04-19 10:01:49
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 JST
 0  0      0  71600   4516 178696    0    0   233    17  786 1141  1  2 96  0  2 2025-04-19 10:01:54
 0  0      0  70088   4824 183012    0    0   898    39  645  883  1  1 96  0  2 2025-04-19 10:01:59
 0  0      0  89732   4832 180828    0    0     0    13  704 1118  1  1 96  0  2 2025-04-19 10:02:04
 0  0      0  89332   4840 180752    0    0     0    38  461  687  0  1 98  0  1 2025-04-19 10:02:09
 0  0      0  85488   4848 189372    0    0  1724     8  646 1054  1  1 98  0  0 2025-04-19 10:02:14
 0  0      0  84228   4856 192944    0    0   714    10  462  702  0  1 99  0  0 2025-04-19 10:02:19
 3  0      0  96312   2092 177036    0    0   784     6  616  968  1  1 97  0  1 2025-04-19 10:02:24
 0  0      0  90596   2804 184320    0    0  3186     2  710 1044  1  1 97  0  1 2025-04-19 10:02:29
 0  0      0  81804   2944 188776    0    0   918    14  509  706  1  1 98  0  1 2025-04-19 10:02:34
 0  0      0  68536   3244 191668    0    0   637     6  711 1096  1  1 97  0  1 2025-04-19 10:02:39
 0  0      0  66268   3252 191884    0    0    42    12  475  712  1  1 98  0  0 2025-04-19 10:02:44
 0  0      0  93340   4652 185384    0    0   910    16  756 1134  1  1 97  0  1 2025-04-19 10:02:49
 0  0      0  88052   4792 185952    0    0   138    15  540  739  0  1 98  0  1 2025-04-19 10:02:54
 0  0      0  75904   4800 191060    0    0  1021    20  784 1175  2  1 96  0  1 2025-04-19 10:02:59
 0  0      0  76372   3868 193548    0    0  3134    34  624  815  1  1 96  0  1 2025-04-19 10:03:04
 0  0      0  75748   4524 190372    0    0  2498     0  782 1125  1  1 96  0  1 2025-04-19 10:03:09
 1  0      0  73732   4552 194892    0    0   903    12  494  714  0  0 98  0  1 2025-04-19 10:03:14
 0  0      0  98536   9204 180200    0    0  2758    10  945 1299  1  1 96  1  1 2025-04-19 10:03:19
 0  0      0  80392   9216 196948    0    0  3322    48  547  770  1  1 97  0  1 2025-04-19 10:03:24
 0  0      0  95476   4056 182364    0    0  3620    35  902 1301  1  1 96  0  1 2025-04-19 10:03:29
 0  0      0  91948   4064 182368    0    0     1     6  528  705  1  1 98  0  0 2025-04-19 10:03:34
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 JST
 2  0      0  72352   4108 188892    0    0  1312    10  716 1105  1  1 97  0  1 2025-04-19 10:03:39
 0  0      0  68256   4108 188900    0    0     0     0  475  700  0  1 98  0  1 2025-04-19 10:03:44
 0  0      0 102368   3648 158504    0    0  2787     5  848 1230  1  1 96  0  1 2025-04-19 10:03:49
 0  0      0  89532   3676 158652    0    0    21    34  611  794  1  1 97  0  1 2025-04-19 10:03:54
 0  0      0  97520   3700 164916    0    0  1256    25  798 1193  1  1 97  0  1 2025-04-19 10:03:59
 1  0      0  84416   3712 180608    0    0  3139    14  662  850  1  1 97  0  1 2025-04-19 10:04:04
 0  0      0  68612   3720 184400    0    0   758    13  798 1232  1  1 98  0  1 2025-04-19 10:04:09
 0  0      0  68172   5020 197264    0    0  3334    17  605  781  1  1 97  0  1 2025-04-19 10:04:14
 0  0      0  93588   4104 171780    0    0  5751    30  919 1201  1  1 96  1  1 2025-04-19 10:04:19
 0  0      0  88300   4400 172568    0    0   199     6  527  729  1  1 98  0  0 2025-04-19 10:04:24
 0  0      0  79144   4264 191792    0    0 10758    16  899 1315  1  1 96  1  1 2025-04-19 10:04:29
 0  0      0  90596   4548 192104    0    0    95    26  535  755  1  1 98  0  0 2025-04-19 10:04:34
 0  0      0  75472   4728 201500    0    0  2323    28  749 1175  1  1 97  0  1 2025-04-19 10:04:39
 0  0      0  67280   4736 201804    0    0    61    19  441  685  0  1 99  0  0 2025-04-19 10:04:44
 0  0      0  67340   3816 196996    0    0  4358     7  871 1299  1  1 96  0  1 2025-04-19 10:04:49
 1  1      0  73432    744 206356    0    0 142093    45 2244 2447  2  5 43 48  2 2025-04-19 10:04:54
 7  1      0 185448   1080 239884    0    0 204805   223 4184 4970  7  8 13 68  4 2025-04-19 10:04:59
 0  0      0 488816   6872 392856    0    0 38314   702 3279 5164  4  5 74 10  7 2025-04-19 10:05:04
 0  0      0 506944   6880 392856    0    0     0     5  304  312  0  1 98  0  1 2025-04-19 10:05:09
 0  0      0 506720   6888 392852    0    0     0     5  231  252  0  0 99  0  0 2025-04-19 10:05:14
 0  0      0 506720   6896 392852    0    0     0     4  210  223  0  0 99  0  0 2025-04-19 10:05:19
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 JST
 1  0      0 506468   6904 392844    0    0     0     3  233  251  0  0 99  0  0 2025-04-19 10:05:24
 0  0      0 506468   6912 392856    0    0     0     3  200  216  0  0 99  0  0 2025-04-19 10:05:29
 0  0      0 499164   7500 396036    0    0   750    16  399  415  1  1 97  0  1 2025-04-19 10:05:34
 1  1      0 204300  11956 659604    0    0 31818 11338 3455 5250  5  6 79  7  2 2025-04-19 10:05:39
 0  0      0 106844  20236 759020    0    0 28086 53670 8696 13655 14 11 55 16  4 2025-04-19 10:05:44
 0  0      0 106088  20260 759104    0    0     1   103  355  395  1  1 98  0  0 2025-04-19 10:05:49
 0  0      0 100480  20272 759088    0    0     0    16  348  405  1  1 98  0  1 2025-04-19 10:05:54
 6  0      0  85680  20696 759052    0    0    94    13  601  732  1  1 97  0  1 2025-04-19 10:05:59
 1  0      0 142792   5264 284224    0    0 75082  5880 10618 16579 19 22 29 17 12 2025-04-19 10:06:04
 0  0      0 131304   7512 302716    0    0  3947  1486 3849 6336  9  7 80  1  3 2025-04-19 10:06:09
 0  0      0  65284   8072 349000    0    0  9342   258 1771 2903  3  3 92  1  2 2025-04-19 10:06:14
 1  0      0 134560   7012 279760    0    0  2572   138 1282 1937  2  2 94  1  1 2025-04-19 10:06:19
 0  0      0 111288   9992 307708    0    0  6186   121 1261 1869  2  2 95  0  1 2025-04-19 10:06:24
 0  0      0 110056  10004 309092    0    0   278    22  459  679  0  0 98  0  1 2025-04-19 10:06:29
 0  0      0  98296  11904 328456    0    0  4254   275 1838 3045  4  3 90  1  2 2025-04-19 10:06:34
 0  0      0  95272  11912 328632    0    0     5    17  531  797  1  1 97  0  1 2025-04-19 10:06:39
 0  0      0 102112  12068 328844    0    0    53     9  872 1323  1  1 97  0  0 2025-04-19 10:06:44
 0  0      0  86116   7672 355988    0    0 10353    10 1066 1414  2  2 94  1  1 2025-04-19 10:06:49
 0  0      0  80628   7684 356172    0    0    22    41  873 1249  1  1 95  0  2 2025-04-19 10:06:54
 2  0      0  99652   8508 331968    0    0  4590   133 1525 2245  3  3 91  2  2 2025-04-19 10:06:59
 0  0      0  72844   9764 343188    0    0  2497   117 1158 1746  2  2 95  0  1 2025-04-19 10:07:04
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 JST
 2  0      0  70072   9772 343188    0    0     0    22  466  679  1  1 98  0  1 2025-04-19 10:07:09
 0  0      0  81444   9784 343200    0    0     1     7  715 1089  1  1 97  0  1 2025-04-19 10:07:14
 1  0      0  69472   9800 346996    0    0   758    49  522  741  1  1 98  0  1 2025-04-19 10:07:19
 1  0      0  78300   9812 347072    0    0    13    21  740 1140  1  1 97  0  1 2025-04-19 10:07:24
 0  0      0  90732   9476 326716    0    0  4491   806 3957 6356  9  8 78  1  3 2025-04-19 10:07:29
 0  0      0  78368  10164 329872    0    0   690   756 3837 6275 10  7 79  1  4 2025-04-19 10:07:34
 0  0      0 121224   9108 291888    0    0  1854   244 1740 2812  4  3 90  0  2 2025-04-19 10:07:39
 1  0      0  86140   9468 306904    0    0  3054   150 1498 2259  3  2 90  1  3 2025-04-19 10:07:44
 0  0      0  98176   9600 308092    0    0   258   121  823 1277  1  1 96  0  1 2025-04-19 10:07:49
 0  0      0 118020   9644 308520    0    0    91    26  656 1049  1  1 98  0  1 2025-04-19 10:07:54
 0  0      0 117700   9744 309756    0    0   240   262 1525 2396  3  3 89  1  4 2025-04-19 10:07:59
 0  0      0 122436   9752 311520    0    0   354    17  691 1149  1  1 97  0  1 2025-04-19 10:08:04
 0  0      0  87120   7740 342468    0    0 18373   106  895 1198  1  2 94  2  1 2025-04-19 10:08:09
 0  0      0  78344   8348 345772    0    0   778     9  766 1179  1  1 88  7  2 2025-04-19 10:08:14
 0  0      0  67632   8356 345772    0    0     0    10  512  789  1  1 98  0  1 2025-04-19 10:08:19
 0  1      0  77592  11564 345348    0    0  7339   250 2093 3164  4  4 87  2  3 2025-04-19 10:08:24
 0  0      0 132364   6532 307944    0    0  1056     2  928 1091  2  2 95  0  1 2025-04-19 10:08:29
 0  0      0  80288   8268 342868    0    0  7314    19  920 1304  1  1 95  0  2 2025-04-19 10:08:34
 0  0      0  71440   8276 342912    0    0     7    14  604  816  1  1 97  0  1 2025-04-19 10:08:39
 0  0      0  83308   8284 343184    0    0    54    15  698 1068  1  1 97  0  1 2025-04-19 10:08:44
 0  0      0  82832   8296 343512    0    0    66    34  415  642  0  1 99  0  1 2025-04-19 10:08:49
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 JST
 2  0      0  90756   8312 345676    0    0   432    16  813 1185  1  1 97  0  1 2025-04-19 10:08:54
 0  0      0  80392   8328 345680    0    0     2    24 1042 1529  3  2 95  0  1 2025-04-19 10:08:59
 0  0      0 112224   6200 320936    0    0  1666    19 1598 2568  4  2 92  0  2 2025-04-19 10:09:04
 0  0      0 104420   6460 321776    0    0   218    21  685  854  1  1 97  0  1 2025-04-19 10:09:09
 0  0      0 105392   6672 329776    0    0  1640    11 1269 2016  3  2 94  0  0 2025-04-19 10:09:14
 0  0      0 114112  11864 301992    0    0  8302   265 2654 4097  7  5 84  1  3 2025-04-19 10:09:19
 0  0      0  96304  12264 332748    0    0  6257    18 1090 1552  2  2 95  1  1 2025-04-19 10:09:24
 0  0      0  91040  12272 332880    0    0     0    23  593  769  1  1 97  0  0 2025-04-19 10:09:29
 0  0      0  74996  12280 333384    0    0   102     9  705 1097  1  1 97  0  1 2025-04-19 10:09:34
 0  0      0  86936   9460 329252    0    0   248    10  904 1175  2  1 95  0  2 2025-04-19 10:09:39
 0  0      0  92264   9468 331024    0    0   354     8 1158 1639  3  2 93  0  3 2025-04-19 10:09:44
 0  0      0  90000   9476 331036    0    0     0    34  598  806  1  1 98  0  1 2025-04-19 10:09:49
 0  0      0  75972   9484 331040    0    0     0    13  655 1068  1  1 98  0  1 2025-04-19 10:09:54
 0  0      0  75972   9492 331040    0    0     0    25  391  611  0  0 99  0  0 2025-04-19 10:09:59
 0  0      0  86144   8136 343408    0    0 16388   251 1745 2705  3  3 88  4  3 2025-04-19 10:10:04
 0  0      0 486940   9236 383904    0    0  8896   526 2519 4046  4  4 87  1  4 2025-04-19 10:10:09
 0  0      0 486940   9244 383948    0    0     9    17  249  316  0  0 99  0  0 2025-04-19 10:10:14
 0  0      0 486940   9252 383984    0    0     8     5  233  271  0  0 99  0  0 2025-04-19 10:10:19
 0  0      0 486940   9260 383984    0    0     0     5  214  275  0  0 99  0  0 2025-04-19 10:10:24
 0  0      0 486940   9268 383984    0    0     0     3  189  251  0  0 99  0  0 2025-04-19 10:10:29
 0  0      0 482404   9592 386104    0    0   484    11  371  409  1  1 98  0  0 2025-04-19 10:10:34
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 JST
 2  0      0 451344   9648 416648    0    0  6110    42  586  635  3  1 95  0  1 2025-04-19 10:10:39
 0  0      0 450840   9656 416932    0    0    58    12  258  310  0  0 99  0  0 2025-04-19 10:10:44
 0  0      0 450840   9664 416932    0    0     0     3  202  252  0  0 99  0  0 2025-04-19 10:10:49
 0  0      0 446744   9672 416932    0    0     0     3  205  248  0  0 99  0  0 2025-04-19 10:10:54
 0  0      0 446744   9680 416932    0    0     0     3  208  255  0  0 99  0  0 2025-04-19 10:10:59
 1  0      0 439184   9900 416988    0    0    52    42  470  423  2  1 96  0  0 2025-04-19 10:11:04
 1  0      0 433640   9908 416980    0    0     0    22  586  553  3  1 94  0  2 2025-04-19 10:11:09
 0  0      0 430868   9932 417004    0    0     2    26  673  725  3  1 94  0  1 2025-04-19 10:11:14
 0  0      0 427872   9940 416996    0    0     0    10  434  433  1  1 97  0  1 2025-04-19 10:11:19
 0  0      0 427872   9948 417004    0    0     0     4  383  406  1  1 98  0  0 2025-04-19 10:11:24
 0  0      0 420636  10536 428516    0    0  2407    79 1163 1720  2  2 95  0  1 2025-04-19 10:11:29
 4  0      0 104232  16568 715536    0    0 32996 63228 6928 10569  6 13 60 16  5 2025-04-19 10:11:34
 0  0      0  84120  17424 763820    0    0 18669   727 3836 6029 10  4 82  3  2 2025-04-19 10:11:39
 8  0      0  79824  15900 714712    0    0  7331  1110 2432 3912  4  5 87  2  2 2025-04-19 10:11:44
 0  0      0  90208  10120 315712    0    0 65121  5286 10282 15562 20 23 46  7  4 2025-04-19 10:11:49
 1  1      0  73180   9172 343764    0    0  6282   954 2727 4575  6  5 88  1  1 2025-04-19 10:11:54
 0  0      0 105396   9904 301652    0    0  4530   275 1757 2599  3  3 91  1  1 2025-04-19 10:11:59
 1  0      0  89392   6380 318528    0    0 20644   277 2154 3210  4  4 87  3  2 2025-04-19 10:12:04
 0  0      0  65020   7668 330504    0    0  2622    23  873 1242  1  1 96  0  1 2025-04-19 10:12:09
 0  0      0 105920   4716 314480    0    0 10614    11  836 1280  1  2 95  1  1 2025-04-19 10:12:14
 0  0      0 113132   9272 299092    0    0 13809   279 2334 3402  4  4 88  2  2 2025-04-19 10:12:19
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 JST
 2  0      0 100592   9284 301228    0    0   426    20  520  712  0  1 98  0  1 2025-04-19 10:12:24
 1  0      0  92728   9520 313360    0    0  2472    18  784 1173  1  1 98  0  0 2025-04-19 10:12:29
 0  0      0  86364   9528 318200    0    0   967     6  426  653  0  1 98  0  1 2025-04-19 10:12:34
 0  0      0  94792   9536 318200    0    0     0    11  549  942  1  1 98  0  1 2025-04-19 10:12:39
 0  0      0  91388   8156 318252    0    0  2538   286 1623 2569  3  3 92  1  1 2025-04-19 10:12:44
 0  0      0  69800   8164 330512    0    0  2450    24  645 1028  1  1 98  0  0 2025-04-19 10:12:49
 0  0      0  64004   8172 335184    0    0   934     5  474  684  1  1 98  0  1 2025-04-19 10:12:54
 0  0      0  89576   7476 330132    0    0   356     9  700 1103  1  1 98  0  0 2025-04-19 10:12:59
 0  0      0  89576   7484 330132    0    0     0     3  422  653  0  0 99  0  0 2025-04-19 10:13:04
 0  0      0 127584   9480 279628    0    0  4970    10  993 1310  2  2 91  2  3 2025-04-19 10:13:09
 0  0      0 130876   9908 279668    0    0    87    25  612  854  2  1 82 14  1 2025-04-19 10:13:14
 0  0      0 130324   9984 282076    0    0   495    42  676 1130  1  1 98  0  0 2025-04-19 10:13:19
 0  0      0 126072   9992 282076    0    0     0     6  484  741  1  1 98  0  1 2025-04-19 10:13:24
 0  0      0  81932   8088 344664    0    0 28125   183 2120 2967  3  4 86  4  2 2025-04-19 10:13:29
 2  0      0  79272   9068 339060    0    0  1818   138 1494 2360  2  2 93  0  2 2025-04-19 10:13:34
 1  0      0 457072  13132 369104    0    0 24209   913 3922 6244  7  7 81  2  3 2025-04-19 10:13:39
